,date,shakes
0,1387/9/15,9248.9
1,1387/9/16,9178.3
2,1387/9/17,9130.5
3,1387/9/18,9089.2
4,1387/9/20,9023.7
5,1387/9/23,8973.3
6,1387/9/24,8907.0
7,1387/9/25,8890.7
8,1387/9/26,8869.0
9,1387/9/30,8857.1
10,1387/10/1,8851.6
11,1387/10/2,8832.2
12,1387/10/3,8803.4
13,1387/10/4,8795.7
14,1387/10/7,8786.7
15,1387/10/8,8757.8
16,1387/10/9,8726.9
17,1387/10/10,8695.0
18,1387/10/11,8656.3
19,1387/10/14,8641.8
20,1387/10/15,8619.6
21,1387/10/16,8596.4
22,1387/10/21,8575.7
23,1387/10/22,8542.0
24,1387/10/23,8519.0
25,1387/10/24,8463.7
26,1387/10/25,8456.9
27,1387/10/28,8458.1
28,1387/10/29,8459.9
29,1387/10/30,8467.4
30,1387/11/1,8496.9
31,1387/11/2,8514.3
32,1387/11/5,8553.7
33,1387/11/6,8519.1
34,1387/11/7,8507.3
35,1387/11/8,8509.1
36,1387/11/9,8505.6
37,1387/11/12,8508.3
38,1387/11/13,8491.8
39,1387/11/14,8496.2
40,1387/11/15,8483.4
41,1387/11/16,8466.4
42,1387/11/19,8451.3
43,1387/11/20,8438.0
44,1387/11/21,8423.7
45,1387/11/23,8430.0
46,1387/11/26,8420.0
47,1387/11/27,8412.7
48,1387/11/29,8390.2
49,1387/11/30,8376.6
50,1387/12/3,8355.9
51,1387/12/4,8297.0
52,1387/12/5,8266.2
53,1387/12/7,8248.9
54,1387/12/10,8243.2
55,1387/12/11,8226.8
56,1387/12/12,8216.1
57,1387/12/13,8200.9
58,1387/12/14,8185.3
59,1387/12/17,8133.5
60,1387/12/18,8111.2
61,1387/12/19,8096.0
62,1387/12/20,8126.5
63,1387/12/21,8130.4
64,1387/12/24,8120.3
65,1387/12/26,7977.1
66,1387/12/27,7972.3
67,1387/12/28,7966.5
68,1388/1/5,7965.6
69,1388/1/8,7965.8
70,1388/1/9,7955.4
71,1388/1/10,7970.3
72,1388/1/11,7988.7
73,1388/1/15,8001.6
74,1388/1/16,8006.0
75,1388/1/17,8049.0
76,1388/1/18,8077.9
77,1388/1/19,8111.1
78,1388/1/22,8153.5
79,1388/1/23,8175.9
80,1388/1/24,8203.6
81,1388/1/25,8252.4
82,1388/1/26,8251.6
83,1388/1/29,8290.4
84,1388/1/30,8348.0
85,1388/1/31,8431.2
86,1388/2/1,8434.9
87,1388/2/2,8476.4
88,1388/2/5,8469.1
89,1388/2/6,8502.6
90,1388/2/7,8518.1
91,1388/2/8,8527.8
92,1388/2/9,8535.0
93,1388/2/12,8548.3
94,1388/2/13,8584.6
95,1388/2/14,8638.3
96,1388/2/15,8699.5
97,1388/2/16,8774.2
98,1388/2/19,8872.4
99,1388/2/20,8930.4
100,1388/2/21,8989.5
101,1388/2/22,8968.3
102,1388/2/23,8932.1
103,1388/2/26,8888.0
104,1388/2/27,8919.4
105,1388/2/28,8963.8
106,1388/2/29,8956.3
107,1388/2/30,9000.8
108,1388/3/2,9042.1
109,1388/3/3,9019.5
110,1388/3/4,8971.1
111,1388/3/5,8934.6
112,1388/3/6,8953.7
113,1388/3/9,9001.3
114,1388/3/10,9000.6
115,1388/3/11,9006.3
116,1388/3/12,9032.3
117,1388/3/13,9081.7
118,1388/3/16,9121.3
119,1388/3/17,9195.1
120,1388/3/18,9235.5
121,1388/3/19,9278.5
122,1388/3/20,9343.3
123,1388/3/23,9365.4
124,1388/3/24,9310.3
125,1388/3/25,9299.0
126,1388/3/26,9271.1
127,1388/3/27,9247.2
128,1388/3/30,9247.7
129,1388/3/31,9258.4
130,1388/4/1,9251.8
131,1388/4/2,9340.0
132,1388/4/3,9338.6
133,1388/4/6,9342.6
134,1388/4/7,9353.7
135,1388/4/8,9360.1
136,1388/4/9,9387.6
137,1388/4/10,9471.0
138,1388/4/13,9470.4
139,1388/4/14,9452.7
140,1388/4/16,9457.9
141,1388/4/20,9438.5
142,1388/4/21,9415.8
143,1388/4/22,9352.8
144,1388/4/23,9374.0
145,1388/4/24,9394.6
146,1388/4/25,9394.6
147,1388/4/27,9442.2
148,1388/4/28,9474.5
149,1388/4/30,9511.1
150,1388/4/31,9522.2
151,1388/5/3,9522.9
152,1388/5/4,9530.3
153,1388/5/5,9703.7
154,1388/5/6,9727.1
155,1388/5/7,9765.6
156,1388/5/10,9811.2
157,1388/5/11,9831.2
158,1388/5/12,9835.0
159,1388/5/13,9861.1
160,1388/5/14,9904.4
161,1388/5/17,9999.0
162,1388/5/18,10044.0
163,1388/5/19,10114.2
164,1388/5/20,10139.4
165,1388/5/21,10194.0
166,1388/5/24,10250.8
167,1388/5/25,10333.2
168,1388/5/26,10405.4
169,1388/5/27,10442.5
170,1388/5/28,10472.4
171,1388/5/31,10555.4
172,1388/6/1,10612.2
173,1388/6/2,10686.1
174,1388/6/3,10983.6
175,1388/6/4,11576.9
176,1388/6/7,11734.4
177,1388/6/8,11693.5
178,1388/6/9,11688.3
179,1388/6/10,11741.0
180,1388/6/11,11747.2
181,1388/6/14,11678.5
182,1388/6/15,11634.5
183,1388/6/16,11589.7
184,1388/6/17,11639.0
185,1388/6/18,11696.5
186,1388/6/21,11696.5
187,1388/6/22,11638.4
188,1388/6/23,11598.7
189,1388/6/24,11523.6
190,1388/6/25,11461.1
191,1388/6/28,11437.0
192,1388/6/29,11437.0
193,1388/6/30,11451.8
194,1388/6/31,11479.8
195,1388/7/1,11583.0
196,1388/7/4,11620.4
197,1388/7/5,11588.2
198,1388/7/6,11559.1
199,1388/7/7,11555.0
200,1388/7/8,11535.8
201,1388/7/11,11657.3
202,1388/7/12,11717.3
203,1388/7/13,11738.2
204,1388/7/14,11792.8
205,1388/7/15,11891.1
206,1388/7/18,11957.9
207,1388/7/19,11925.4
208,1388/7/20,11912.3
209,1388/7/21,11918.3
210,1388/7/25,11917.8
211,1388/7/26,11914.1
212,1388/7/27,11976.4
213,1388/7/28,12077.3
214,1388/7/29,12176.3
215,1388/8/2,12242.8
216,1388/8/3,12325.8
217,1388/8/4,12342.6
218,1388/8/5,12345.1
219,1388/8/6,12408.4
220,1388/8/9,12482.4
221,1388/8/10,12545.0
222,1388/8/11,12529.5
223,1388/8/12,12483.6
224,1388/8/13,12506.0
225,1388/8/16,12576.9
226,1388/8/17,12565.9
227,1388/8/18,12581.5
228,1388/8/19,12426.1
229,1388/8/20,12381.4
230,1388/8/23,12403.1
231,1388/8/24,12361.7
232,1388/8/25,12325.4
233,1388/8/26,12241.9
234,1388/8/27,12176.4
235,1388/8/30,12086.7
236,1388/9/1,12003.0
237,1388/9/2,11996.3
238,1388/9/3,12072.6
239,1388/9/4,12113.4
240,1388/9/8,12027.6
241,1388/9/9,11964.9
242,1388/9/10,11928.9
243,1388/9/11,11914.6
244,1388/9/14,11905.0
245,1388/9/16,11944.5
246,1388/9/17,11909.6
247,1388/9/18,11836.3
248,1388/9/21,11753.1
249,1388/9/22,11677.4
250,1388/9/23,11629.1
251,1388/9/24,11362.5
252,1388/9/25,11265.3
253,1388/9/28,11209.6
254,1388/9/29,11255.7
255,1388/9/30,11274.9
256,1388/10/1,11234.6
257,1388/10/2,11221.3
258,1388/10/7,11196.9
259,1388/10/8,11178.5
260,1388/10/9,11207.5
261,1388/10/12,11295.2
262,1388/10/13,11351.1
263,1388/10/14,11305.1
264,1388/10/15,11307.4
265,1388/10/16,11375.4
266,1388/10/19,11449.6
267,1388/10/20,11592.3
268,1388/10/21,11656.8
269,1388/10/22,11646.2
270,1388/10/23,11599.9
271,1388/10/26,11614.9
272,1388/10/27,11620.7
273,1388/10/28,11584.0
274,1388/10/29,11569.2
275,1388/10/30,11569.2
276,1388/11/3,11617.8
277,1388/11/4,11684.9
278,1388/11/5,11705.1
